"sample","day","vaccine","fish","jaw","wt"
"1",0,"4","1","0",71
"2",82,"4","1","0",86
"3",246,"4","1","0",734
"4",505,"4","1","0",2030
"5",901,"4","1","0",5800
"1",0,"4","2","0",73
"2",82,"4","2","0",109
"3",246,"4","2","0",840
"4",505,"4","2","0",1730
"5",901,"4","2","0",4660
"1",0,"3","3","0",69
"2",82,"3","3","0",84
"3",246,"3","3","0",748
"4",505,"3","3","0",1520
"5",901,"3","3","0",5900
"1",0,"2","4","0",63
"2",82,"2","4","0",82
"3",246,"2","4","0",686
"4",505,"2","4","0",2180
"5",901,"2","4","0",7230
"1",0,"1","5","0",68
"2",82,"1","5","0",76
"3",246,"1","5","0",768
"4",505,"1","5","0",2100
"5",901,"1","5","0",6500
"1",0,"1","6","0",75
"2",82,"1","6","0",103
"3",246,"1","6","0",728
"4",505,"1","6","0",2780
"5",901,"1","6","0",7720
"1",0,"3","7","0",71
"2",82,"3","7","0",92
"3",246,"3","7","0",684
"4",505,"3","7","0",1710
"5",901,"3","7","0",6910
"1",0,"2","8","0",59
"2",82,"2","8","0",77
"3",246,"2","8","0",598
"4",505,"2","8","0",1620
"5",901,"2","8","0",5250
"1",0,"1","9","1",70
"2",82,"1","9","1",96
"3",246,"1","9","1",754
"4",505,"1","9","1",3340
"5",901,"1","9","1",3160
"1",0,"1","10","0",60
"2",82,"1","10","0",83
"3",246,"1","10","0",788
"4",505,"1","10","0",2450
"5",901,"1","10","0",8300
"1",0,"1","11","0",53
"2",82,"1","11","0",75
"3",246,"1","11","0",798
"4",505,"1","11","0",2180
"5",901,"1","11","0",7140
"1",0,"1","12","0",46
"2",82,"1","12","0",65
"3",246,"1","12","0",705
"4",505,"1","12","0",1760
"5",901,"1","12","0",4880
"1",0,"1","13","0",81
"2",82,"1","13","0",107
"3",246,"1","13","0",820
"4",505,"1","13","0",2140
"5",901,"1","13","0",7070
"1",0,"4","14","1",45
"2",82,"4","14","1",59
"3",246,"4","14","1",442
"4",505,"4","14","1",1620
"5",901,"4","14","1",5270
"1",0,"2","15","0",57
"2",82,"2","15","0",78
"3",246,"2","15","0",802
"4",505,"2","15","0",2010
"5",901,"2","15","0",5420
"1",0,"1","16","0",62
"2",82,"1","16","0",80
"3",246,"1","16","0",808
"4",505,"1","16","0",2030
"5",901,"1","16","0",6900
"1",0,"3","17","0",50
"2",82,"3","17","0",67
"3",246,"3","17","0",600
"4",505,"3","17","0",1680
"5",901,"3","17","0",5230
"1",0,"2","18","0",58
"2",82,"2","18","0",73
"3",246,"2","18","0",528
"4",505,"2","18","0",1990
"5",901,"2","18","0",7040
"1",0,"2","19","0",72
"2",82,"2","19","0",102
"3",246,"2","19","0",630
"4",505,"2","19","0",1800
"5",901,"2","19","0",5080
"1",0,"2","20","0",93
"2",82,"2","20","0",132
"3",246,"2","20","0",950
"4",505,"2","20","0",2200
"5",901,"2","20","0",6460
"1",0,"1","21","0",45
"2",82,"1","21","0",55
"3",246,"1","21","0",688
"4",505,"1","21","0",1500
"5",901,"1","21","0",4550
"1",0,"1","22","0",49
"2",82,"1","22","0",74
"3",246,"1","22","0",738
"4",505,"1","22","0",1780
"5",901,"1","22","0",7230
"1",0,"4","23","0",82
"2",82,"4","23","0",104
"3",246,"4","23","0",702
"4",505,"4","23","0",1920
"5",901,"4","23","0",5350
"1",0,"3","24","0",61
"2",82,"3","24","0",73
"3",246,"3","24","0",676
"4",505,"3","24","0",1480
"5",901,"3","24","0",5560
"1",0,"3","25","0",56
"2",82,"3","25","0",77
"3",246,"3","25","0",760
"4",505,"3","25","0",1530
"5",901,"3","25","0",3820
"1",0,"3","26","0",42
"2",82,"3","26","0",62
"3",246,"3","26","0",684
"4",505,"3","26","0",2230
"5",901,"3","26","0",6950
"1",0,"1","27","0",72
"2",82,"1","27","0",81
"3",246,"1","27","0",865
"4",505,"1","27","0",2500
"5",901,"1","27","0",7870
"1",0,"4","28","0",53
"2",82,"4","28","0",68
"3",246,"4","28","0",570
"4",505,"4","28","0",1550
"5",901,"4","28","0",7920
"1",0,"1","29","0",59
"2",82,"1","29","0",78
"3",246,"1","29","0",632
"4",505,"1","29","0",1320
"5",901,"1","29","0",5360
"1",0,"3","30","0",78
"2",82,"3","30","0",97
"3",246,"3","30","0",674
"4",505,"3","30","0",2400
"5",901,"3","30","0",6940
"1",0,"3","31","0",66
"2",82,"3","31","0",93
"3",246,"3","31","0",742
"4",505,"3","31","0",2380
"5",901,"3","31","0",5890
"1",0,"3","32","0",59
"2",82,"3","32","0",85
"3",246,"3","32","0",825
"4",505,"3","32","0",1780
"5",901,"3","32","0",4890
"1",0,"4","33","0",55
"2",82,"4","33","0",72
"3",246,"4","33","0",668
"4",505,"4","33","0",3780
"5",901,"4","33","0",4490
"1",0,"3","34","0",63
"2",82,"3","34","0",80
"3",246,"3","34","0",685
"4",505,"3","34","0",2280
"5",901,"3","34","0",6910
"1",0,"4","35","0",60
"2",82,"4","35","0",66
"3",246,"4","35","0",565
"4",505,"4","35","0",1600
"5",901,"4","35","0",4950
"1",0,"1","36","0",50
"2",82,"1","36","0",77
"3",246,"1","36","0",666
"4",505,"1","36","0",2020
"5",901,"1","36","0",7590
"1",0,"4","37","0",48
"2",82,"4","37","0",68
"3",246,"4","37","0",580
"4",505,"4","37","0",1960
"5",901,"4","37","0",5740
"1",0,"3","38","0",42
"2",82,"3","38","0",56
"3",246,"3","38","0",665
"4",505,"3","38","0",3360
"5",901,"3","38","0",5970
"1",0,"2","39","0",52
"2",82,"2","39","0",69
"3",246,"2","39","0",726
"4",505,"2","39","0",1680
"5",901,"2","39","0",6030
"1",0,"2","40","0",56
"2",82,"2","40","0",75
"3",246,"2","40","0",728
"4",505,"2","40","0",1230
"5",901,"2","40","0",6480
"1",0,"1","41","0",64
"2",82,"1","41","0",82
"3",246,"1","41","0",672
"4",505,"1","41","0",1830
"5",901,"1","41","0",7550
"1",0,"1","42","0",56
"2",82,"1","42","0",72
"3",246,"1","42","0",608
"4",505,"1","42","0",1580
"5",901,"1","42","0",4640
"1",0,"2","43","1",52
"2",82,"2","43","1",66
"3",246,"2","43","1",520
"4",505,"2","43","1",1240
"5",901,"2","43","1",5280
"1",0,"2","44","0",54
"2",82,"2","44","0",63
"3",246,"2","44","0",702
"4",505,"2","44","0",1740
"5",901,"2","44","0",5020
"1",0,"1","45","0",61
"2",82,"1","45","0",70
"3",246,"1","45","0",560
"4",505,"1","45","0",2140
"5",901,"1","45","0",8340
"1",0,"3","46","0",68
"2",82,"3","46","0",95
"3",246,"3","46","0",708
"4",505,"3","46","0",1390
"5",901,"3","46","0",4390
"1",0,"3","47","0",58
"2",82,"3","47","0",71
"3",246,"3","47","0",766
"4",505,"3","47","0",2600
"5",901,"3","47","0",9120
"1",0,"4","48","0",49
"2",82,"4","48","0",60
"3",246,"4","48","0",625
"4",505,"4","48","0",1670
"5",901,"4","48","0",5250
"1",0,"4","49","1",50
"2",82,"4","49","1",61
"3",246,"4","49","1",690
"4",505,"4","49","1",1450
"5",901,"4","49","1",4430
"1",0,"2","50","0",52
"2",82,"2","50","0",71
"3",246,"2","50","0",738
"4",505,"2","50","0",1980
"5",901,"2","50","0",6610
"1",0,"4","51","0",62
"2",82,"4","51","0",75
"3",246,"4","51","0",586
"4",505,"4","51","0",1720
"5",901,"4","51","0",5390
"1",0,"1","52","0",66
"2",82,"1","52","0",84
"3",246,"1","52","0",778
"4",505,"1","52","0",2030
"5",901,"1","52","0",6450
"1",0,"4","53","0",76
"2",82,"4","53","0",93
"3",246,"4","53","0",686
"4",505,"4","53","0",1600
"5",901,"4","53","0",5430
"1",0,"1","54","1",54
"2",82,"1","54","1",66
"3",246,"1","54","1",532
"4",505,"1","54","1",1170
"5",901,"1","54","1",3850
"1",0,"1","55","1",75
"2",82,"1","55","1",111
"3",246,"1","55","1",948
"4",505,"1","55","1",3830
"5",901,"1","55","1",7590
"1",0,"3","56","0",46
"2",82,"3","56","0",63
"3",246,"3","56","0",700
"4",505,"3","56","0",1640
"5",901,"3","56","0",6890
"1",0,"3","57","1",53
"2",82,"3","57","1",76
"3",246,"3","57","1",685
"4",505,"3","57","1",2160
"5",901,"3","57","1",8050
"1",0,"3","58","0",66
"2",82,"3","58","0",92
"3",246,"3","58","0",695
"4",505,"3","58","0",2180
"5",901,"3","58","0",8080
"1",0,"4","59","0",54
"2",82,"4","59","0",70
"3",246,"4","59","0",500
"4",505,"4","59","0",1410
"5",901,"4","59","0",5150
"1",0,"2","60","0",68
"2",82,"2","60","0",89
"3",246,"2","60","0",685
"4",505,"2","60","0",2230
"5",901,"2","60","0",9200
"1",0,"2","61","0",55
"2",82,"2","61","0",76
"3",246,"2","61","0",568
"4",505,"2","61","0",1970
"5",901,"2","61","0",5410
"1",0,"3","62","0",57
"2",82,"3","62","0",84
"3",246,"3","62","0",782
"4",505,"3","62","0",2780
"5",901,"3","62","0",9840
"1",0,"4","63","0",57
"2",82,"4","63","0",78
"3",246,"4","63","0",596
"4",505,"4","63","0",2000
"5",901,"4","63","0",5110
"1",0,"4","64","0",77
"2",82,"4","64","0",93
"3",246,"4","64","0",705
"4",505,"4","64","0",1660
"5",901,"4","64","0",3070
"1",0,"2","65","0",67
"2",82,"2","65","0",83
"3",246,"2","65","0",798
"4",505,"2","65","0",1450
"5",901,"2","65","0",6910
"1",0,"4","66","0",47
"2",82,"4","66","0",63
"3",246,"4","66","0",592
"4",505,"4","66","0",1830
"5",901,"4","66","0",6350
"1",0,"1","67","0",70
"2",82,"1","67","0",86
"3",246,"1","67","0",768
"4",505,"1","67","0",1990
"5",901,"1","67","0",7630
"1",0,"2","68","1",49
"2",82,"2","68","1",67
"3",246,"2","68","1",588
"4",505,"2","68","1",1560
"5",901,"2","68","1",4200
"1",0,"1","69","0",59
"2",82,"1","69","0",76
"3",246,"1","69","0",510
"4",505,"1","69","0",1500
"5",901,"1","69","0",5740
"1",0,"2","70","0",52
"2",82,"2","70","0",64
"3",246,"2","70","0",608
"4",505,"2","70","0",1220
"5",901,"2","70","0",4200
"1",0,"1","71","1",53
"2",82,"1","71","1",72
"3",246,"1","71","1",660
"4",505,"1","71","1",2740
"5",901,"1","71","1",4290
"1",0,"3","72","0",64
"2",82,"3","72","0",71
"3",246,"3","72","0",710
"4",505,"3","72","0",1850
"5",901,"3","72","0",6890
"1",0,"3","73","1",67
"2",82,"3","73","1",89
"3",246,"3","73","1",768
"4",505,"3","73","1",2028
"5",901,"3","73","1",7460
"1",0,"1","74","0",63
"2",82,"1","74","0",78
"3",246,"1","74","0",690
"4",505,"1","74","0",1240
"5",901,"1","74","0",4110
"1",0,"2","75","0",85
"2",82,"2","75","0",103
"3",246,"2","75","0",740
"4",505,"2","75","0",2160
"5",901,"2","75","0",6710
"1",0,"3","76","0",72
"2",82,"3","76","0",73
"3",246,"3","76","0",524
"4",505,"3","76","0",1480
"5",901,"3","76","0",5510
"1",0,"4","77","0",53
"2",82,"4","77","0",61
"3",246,"4","77","0",585
"4",505,"4","77","0",1500
"5",901,"4","77","0",4920
"1",0,"4","78","0",58
"2",82,"4","78","0",70
"3",246,"4","78","0",750
"4",505,"4","78","0",2260
"5",901,"4","78","0",4860
"1",0,"4","79","1",48
"2",82,"4","79","1",60
"3",246,"4","79","1",572
"4",505,"4","79","1",1670
"5",901,"4","79","1",4190
"1",0,"3","80","0",46
"2",82,"3","80","0",62
"3",246,"3","80","0",578
"4",505,"3","80","0",1960
"5",901,"3","80","0",6120
"1",0,"1","81","0",71
"2",82,"1","81","0",86
"3",246,"1","81","0",714
"4",505,"1","81","0",2890
"5",901,"1","81","0",4990
"1",0,"3","82","0",61
"2",82,"3","82","0",81
"3",246,"3","82","0",656
"4",505,"3","82","0",1960
"5",901,"3","82","0",6030
"1",0,"4","83","0",57
"2",82,"4","83","0",69
"3",246,"4","83","0",580
"4",505,"4","83","0",1240
"5",901,"4","83","0",5050
"1",0,"2","84","0",53
"2",82,"2","84","0",70
"3",246,"2","84","0",610
"4",505,"2","84","0",1880
"5",901,"2","84","0",6010
"1",0,"4","85","0",60
"2",82,"4","85","0",85
"3",246,"4","85","0",832
"4",505,"4","85","0",2760
"5",901,"4","85","0",6690
"1",0,"4","86","0",48
"2",82,"4","86","0",62
"3",246,"4","86","0",578
"4",505,"4","86","0",1560
"5",901,"4","86","0",5470
"1",0,"3","87","0",66
"2",82,"3","87","0",87
"3",246,"3","87","0",728
"4",505,"3","87","0",1980
"5",901,"3","87","0",6550
"1",0,"4","88","0",55
"2",82,"4","88","0",65
"3",246,"4","88","0",475
"4",505,"4","88","0",1230
"5",901,"4","88","0",5700
"1",0,"2","89","0",46
"2",82,"2","89","0",61
"3",246,"2","89","0",595
"4",505,"2","89","0",1360
"5",901,"2","89","0",3330
"1",0,"3","90","0",61
"2",82,"3","90","0",77
"3",246,"3","90","0",666
"4",505,"3","90","0",1780
"5",901,"3","90","0",4790
"1",0,"3","91","0",76
"2",82,"3","91","0",99
"3",246,"3","91","0",640
"4",505,"3","91","0",1570
"5",901,"3","91","0",4610
"1",0,"3","92","0",60
"2",82,"3","92","0",72
"3",246,"3","92","0",678
"4",505,"3","92","0",1380
"5",901,"3","92","0",5520
"1",0,"3","93","1",45
"2",82,"3","93","1",47
"3",246,"3","93","1",576
"4",505,"3","93","1",1280
"5",901,"3","93","1",4210
"1",0,"4","94","0",47
"2",82,"4","94","0",56
"3",246,"4","94","0",460
"4",505,"4","94","0",1450
"5",901,"4","94","0",4780
"1",0,"1","95","0",56
"2",82,"1","95","0",67
"3",246,"1","95","0",638
"4",505,"1","95","0",1800
"5",901,"1","95","0",5390
"1",0,"3","96","0",36
"2",82,"3","96","0",48
"3",246,"3","96","0",486
"4",505,"3","96","0",1490
"5",901,"3","96","0",5810
"1",0,"2","97","1",50
"2",82,"2","97","1",76
"3",246,"2","97","1",500
"4",505,"2","97","1",1080
"5",901,"2","97","1",3060
"1",0,"1","98","0",51
"2",82,"1","98","0",71
"3",246,"1","98","0",605
"4",505,"1","98","0",1400
"5",901,"1","98","0",4260
"1",0,"1","99","0",59
"2",82,"1","99","0",86
"3",246,"1","99","0",768
"4",505,"1","99","0",2340
"5",901,"1","99","0",6920
"1",0,"2","100","0",90
"2",82,"2","100","0",120
"3",246,"2","100","0",1058
"4",505,"2","100","0",2950
"5",901,"2","100","0",8430
"1",0,"1","101","0",53
"2",82,"1","101","0",86
"3",246,"1","101","0",890
"4",505,"1","101","0",2800
"5",901,"1","101","0",7030
"1",0,"1","102","0",69
"2",82,"1","102","0",84
"3",246,"1","102","0",725
"4",505,"1","102","0",2980
"5",901,"1","102","0",4330
"1",0,"4","103","0",80
"2",82,"4","103","0",115
"3",246,"4","103","0",954
"4",505,"4","103","0",2250
"5",901,"4","103","0",4670
"1",0,"4","104","0",60
"2",82,"4","104","0",70
"3",246,"4","104","0",655
"4",505,"4","104","0",1950
"5",901,"4","104","0",5970
"1",0,"2","105","1",61
"2",82,"2","105","1",78
"3",246,"2","105","1",700
"4",505,"2","105","1",1800
"5",901,"2","105","1",4540
"1",0,"1","106","1",39
"2",82,"1","106","1",69
"3",246,"1","106","1",598
"4",505,"1","106","1",1450
"5",901,"1","106","1",4400
"1",0,"2","107","0",49
"2",82,"2","107","0",65
"3",246,"2","107","0",696
"4",505,"2","107","0",2450
"5",901,"2","107","0",6700
"1",0,"3","108","0",86
"2",82,"3","108","0",109
"3",246,"3","108","0",918
"4",505,"3","108","0",3650
"5",901,"3","108","0",8590
"1",0,"1","109","0",66
"2",82,"1","109","0",89
"3",246,"1","109","0",898
"4",505,"1","109","0",2650
"5",901,"1","109","0",7930
"1",0,"1","110","0",52
"2",82,"1","110","0",57
"3",246,"1","110","0",490
"4",505,"1","110","0",1780
"5",901,"1","110","0",5200
"1",0,"1","111","0",37
"2",82,"1","111","0",56
"3",246,"1","111","0",640
"4",505,"1","111","0",1880
"5",901,"1","111","0",6220
"1",0,"4","112","0",75
"2",82,"4","112","0",90
"3",246,"4","112","0",658
"4",505,"4","112","0",1870
"5",901,"4","112","0",5910
"1",0,"4","113","0",71
"2",82,"4","113","0",90
"3",246,"4","113","0",800
"4",505,"4","113","0",1790
"5",901,"4","113","0",6510
"1",0,"2","114","0",74
"2",82,"2","114","0",92
"3",246,"2","114","0",616
"4",505,"2","114","0",1750
"5",901,"2","114","0",6510
"1",0,"1","115","0",59
"2",82,"1","115","0",76
"3",246,"1","115","0",788
"4",505,"1","115","0",1890
"5",901,"1","115","0",5480
"1",0,"1","116","0",70
"2",82,"1","116","0",86
"3",246,"1","116","0",608
"4",505,"1","116","0",1410
"5",901,"1","116","0",4980
"1",0,"3","117","0",59
"2",82,"3","117","0",74
"3",246,"3","117","0",706
"4",505,"3","117","0",2350
"5",901,"3","117","0",7630
"1",0,"1","118","0",86
"2",82,"1","118","0",104
"3",246,"1","118","0",730
"4",505,"1","118","0",2260
"5",901,"1","118","0",3630
"1",0,"1","119","0",57
"2",82,"1","119","0",89
"3",246,"1","119","0",785
"4",505,"1","119","0",2060
"5",901,"1","119","0",6500
"1",0,"1","120","0",55
"2",82,"1","120","0",76
"3",246,"1","120","0",660
"4",505,"1","120","0",1450
"5",901,"1","120","0",6580
"1",0,"3","121","0",56
"2",82,"3","121","0",80
"3",246,"3","121","0",584
"4",505,"3","121","0",1890
"5",901,"3","121","0",4390
"1",0,"4","122","0",59
"2",82,"4","122","0",80
"3",246,"4","122","0",642
"4",505,"4","122","0",1680
"5",901,"4","122","0",4550
"1",0,"1","123","0",57
"2",82,"1","123","0",71
"3",246,"1","123","0",672
"4",505,"1","123","0",1520
"5",901,"1","123","0",4650
"1",0,"3","124","0",46
"2",82,"3","124","0",59
"3",246,"3","124","0",498
"4",505,"3","124","0",1550
"5",901,"3","124","0",5760
"1",0,"1","125","0",70
"2",82,"1","125","0",98
"3",246,"1","125","0",790
"4",505,"1","125","0",2570
"5",901,"1","125","0",6500
"1",0,"2","126","0",56
"2",82,"2","126","0",58
"3",246,"2","126","0",598
"4",505,"2","126","0",1130
"5",901,"2","126","0",2260
"1",0,"4","127","0",79
"2",82,"4","127","0",97
"3",246,"4","127","0",828
"4",505,"4","127","0",2040
"5",901,"4","127","0",6500
"1",0,"3","128","0",56
"2",82,"3","128","0",69
"3",246,"3","128","0",546
"4",505,"3","128","0",1480
"5",901,"3","128","0",5160
"1",0,"2","129","0",47
"2",82,"2","129","0",58
"3",246,"2","129","0",686
"4",505,"2","129","0",1920
"5",901,"2","129","0",6800
"1",0,"2","130","0",63
"2",82,"2","130","0",79
"3",246,"2","130","0",784
"4",505,"2","130","0",2630
"5",901,"2","130","0",3910
"1",0,"3","131","0",55
"2",82,"3","131","0",70
"3",246,"3","131","0",674
"4",505,"3","131","0",2840
"5",901,"3","131","0",4240
"1",0,"2","132","1",76
"2",82,"2","132","1",72
"3",246,"2","132","1",868
"4",505,"2","132","1",2090
"5",901,"2","132","1",5360
"1",0,"2","133","1",80
"2",82,"2","133","1",95
"3",246,"2","133","1",806
"4",505,"2","133","1",2560
"5",901,"2","133","1",6720
"1",0,"3","134","0",58
"2",82,"3","134","0",75
"3",246,"3","134","0",756
"4",505,"3","134","0",2200
"5",901,"3","134","0",6320
"1",0,"1","135","0",58
"2",82,"1","135","0",71
"3",246,"1","135","0",656
"4",505,"1","135","0",2450
"5",901,"1","135","0",7490
"1",0,"2","136","1",51
"2",82,"2","136","1",66
"3",246,"2","136","1",566
"4",505,"2","136","1",1750
